Material,WorkFxn,mag_moment,Bandgap,lat_const,C11,C12,Y2D,G,K,v,V_l,V_s,V_m,T_D
BaCrTe3,4.303628,2.22,0.3041,7.334,13.71,3.86,12.62,4.92,8.79,0.28,2.59,1.55,1.88,167.14
SrReF3,4.307721,0.552,0.9862,5.087,127.36,-72.43,86.17,99.9,27.47,-0.57,7.21,6.38,6.76,864.04
BaCoS3,4.3085,2.651,0.2258,6.381,10.64,8.73,3.48,0.96,9.69,0.82,2.78,0.83,1.13,115.05
Ca2Co2Br6,4.310472,3.861,1.6264,7.051,21.09,16.1,8.79,2.49,18.6,0.76,2.84,0.98,1.31,170.38
Ba2V2Te6,4.313906,2.479,0.5334,7.884,14.89,8.87,9.61,3.01,11.88,0.6,2.06,0.92,1.19,139.12
CeIrSe3,4.318701,0.968,0.823,6.101,13.73,12.87,1.66,0.43,13.3,0.94,2.16,0.38,0.53,56.77
BaCuTe3,4.324604,0,0.8408,6.979,20.89,16.82,7.34,2.03,18.85,0.81,3.01,0.94,1.27,118.35
Mg2Cr2Te6,4.32506,6.648,0.0671,6.663,4.33,-2.03,3.39,3.18,1.15,-0.47,1.05,0.9,0.96,132.79
Ba2Mo2Se6,4.330251,1.796,0.3978,7.269,31.03,19.75,18.46,5.64,25.39,0.64,3.01,1.29,1.67,211.6
CaCuBr3,4.336148,0,1.6382,7.097,10.13,1.4,9.94,4.36,5.77,0.14,2.78,1.83,2.16,197.99
MgMoTe3,4.336405,1.425,0.628,7.189,11.08,-2.8,10.38,6.94,4.14,-0.25,2.44,1.93,2.14,193.44
MgVS3,4.33881,0.794,0.7395,6.18,42.91,8.8,41.1,17.05,25.85,0.21,7.06,4.45,5.32,560.39
CaVS3,4.339409,0.887,2.1459,6.344,44.13,4.67,43.64,19.73,24.4,0.11,7.03,4.7,5.53,566.88
SrZnF3,4.34035,0.398,1.5229,5.213,33.13,8.39,31,12.37,20.76,0.25,4.73,2.89,3.49,434.99
CaCuI3,4.348164,0,1.0131,7.722,21.17,10.56,15.91,5.31,15.86,0.5,3.69,1.85,2.33,196.63
Ca2Ni2Te6,4.351417,1.61,0.1402,6.508,60.93,22.33,52.75,19.3,41.63,0.37,3.74,2.1,2.59,366.46
Ca2Cu2Te6,4.354342,0.119,0.0869,6.54,66.55,22.14,59.18,22.2,44.35,0.33,3.91,2.26,2.76,388.58
Sr2Ag2Te6,4.354775,0.003,0.1963,6.646,64.97,12.15,62.7,26.41,38.56,0.19,3.6,2.29,2.73,378.48
CaCrSe3,4.355617,2.039,0.4443,6.55,12.35,-1.96,12.04,7.16,5.19,-0.16,2.9,2.21,2.48,246.52
Ba2Ti2O6,4.359643,0,1.8009,5.829,51.72,19.13,44.64,16.29,35.42,0.37,4.43,2.49,3.07,484.15
